combo,disc,id,n,dens,diameter,ev1,ev2,spec_gap,mgap,modularity,core,assort,ccoef,glob_eff
betweenness-closeness,85,movie_345,40,0.19743589743589743,4,13.251639286744535,4.7930369643465465,0.3616938901393858,0.14935064935064934,0.2638092427053467,0.848878014143063,-0.3664644477576942,0.5420289855072464,0.715812976398148
betweenness-eigenvector,98,movie_345,40,0.19743589743589743,4,13.251639286744535,4.7930369643465465,0.3616938901393858,0.14935064935064934,0.2638092427053467,0.848878014143063,-0.3664644477576942,0.5420289855072464,0.715812976398148
closeness-eigenvector,28,movie_345,40,0.19743589743589743,4,13.251639286744535,4.7930369643465465,0.3616938901393858,0.14935064935064934,0.2638092427053467,0.848878014143063,-0.3664644477576942,0.5420289855072464,0.715812976398148
degree-betweenness,14,movie_346,31,0.21720430107526884,4,10.368503656816788,3.042111817879434,0.29339930992640323,0.13861386138613863,0.20522497794333883,0.8380952380952381,-0.40155096729491174,0.46350710900473935,0.7951860031490208
degree-closeness,18,movie_346,31,0.21720430107526884,4,10.368503656816788,3.042111817879434,0.29339930992640323,0.13861386138613863,0.20522497794333883,0.8380952380952381,-0.40155096729491174,0.46350710900473935,0.7951860031490208
degree-eigenvector,20,movie_346,31,0.21720430107526884,4,10.368503656816788,3.042111817879434,0.29339930992640323,0.13861386138613863,0.20522497794333883,0.8380952380952381,-0.40155096729491174,0.46350710900473935,0.7951860031490208
betweenness-closeness,19,movie_346,31,0.21720430107526884,4,10.368503656816788,3.042111817879434,0.29339930992640323,0.13861386138613863,0.20522497794333883,0.8380952380952381,-0.40155096729491174,0.46350710900473935,0.7951860031490208
betweenness-eigenvector,33,movie_346,31,0.21720430107526884,4,10.368503656816788,3.042111817879434,0.29339930992640323,0.13861386138613863,0.20522497794333883,0.8380952380952381,-0.40155096729491174,0.46350710900473935,0.7951860031490208
closeness-eigenvector,29,movie_346,31,0.21720430107526884,4,10.368503656816788,3.042111817879434,0.29339930992640323,0.13861386138613863,0.20522497794333883,0.8380952380952381,-0.40155096729491174,0.46350710900473935,0.7951860031490208
degree-betweenness,47,movie_348,33,0.2159090909090909,4,10.756654265119911,4.02284797423338,0.37398691777963683,0.15789473684210525,0.26381194213604175,0.7620367405305236,-0.3090220075481075,0.49625935162094764,0.8124131381412432
degree-closeness,25,movie_348,33,0.2159090909090909,4,10.756654265119911,4.02284797423338,0.37398691777963683,0.15789473684210525,0.26381194213604175,0.7620367405305236,-0.3090220075481075,0.49625935162094764,0.8124131381412432
degree-eigenvector,12,movie_348,33,0.2159090909090909,4,10.756654265119911,4.02284797423338,0.37398691777963683,0.15789473684210525,0.26381194213604175,0.7620367405305236,-0.3090220075481075,0.49625935162094764,0.8124131381412432
betweenness-closeness,56,movie_348,33,0.2159090909090909,4,10.756654265119911,4.02284797423338,0.37398691777963683,0.15789473684210525,0.26381194213604175,0.7620367405305236,-0.3090220075481075,0.49625935162094764,0.8124131381412432
betweenness-eigenvector,72,movie_348,33,0.2159090909090909,4,10.756654265119911,4.02284797423338,0.37398691777963683,0.15789473684210525,0.26381194213604175,0.7620367405305236,-0.3090220075481075,0.49625935162094764,0.8124131381412432
closeness-eigenvector,31,movie_348,33,0.2159090909090909,4,10.756654265119911,4.02284797423338,0.37398691777963683,0.15789473684210525,0.26381194213604175,0.7620367405305236,-0.3090220075481075,0.49625935162094764,0.8124131381412432
degree-betweenness,12,movie_349,26,0.2646153846153846,3,10.08392737664233,3.1631738016447386,0.3136847067117602,0.09302325581395349,0.2096403461330449,0.8635476768447123,-0.46049905299419114,0.5308219178082192,0.8451326486812422
degree-closeness,1,movie_349,26,0.2646153846153846,3,10.08392737664233,3.1631738016447386,0.3136847067117602,0.09302325581395349,0.2096403461330449,0.8635476768447123,-0.46049905299419114,0.5308219178082192,0.8451326486812422
degree-eigenvector,18,movie_349,26,0.2646153846153846,3,10.08392737664233,3.1631738016447386,0.3136847067117602,0.09302325581395349,0.2096403461330449,0.8635476768447123,-0.46049905299419114,0.5308219178082192,0.8451326486812422
betweenness-closeness,16,movie_349,26,0.2646153846153846,3,10.08392737664233,3.1631738016447386,0.3136847067117602,0.09302325581395349,0.2096403461330449,0.8635476768447123,-0.46049905299419114,0.5308219178082192,0.8451326486812422
betweenness-eigenvector,23,movie_349,26,0.2646153846153846,3,10.08392737664233,3.1631738016447386,0.3136847067117602,0.09302325581395349,0.2096403461330449,0.8635476768447123,-0.46049905299419114,0.5308219178082192,0.8451326486812422
closeness-eigenvector,4,movie_349,26,0.2646153846153846,3,10.08392737664233,3.1631738016447386,0.3136847067117602,0.09302325581395349,0.2096403461330449,0.8635476768447123,-0.46049905299419114,0.5308219178082192,0.8451326486812422
degree-betweenness,103,movie_350,50,0.12081632653061225,5,9.579760526387965,6.523019444818099,0.6809167543228343,0.39864864864864863,0.44800036523009507,0.5141755250770259,-0.17765600594064435,0.43317972350230416,0.7647756267806268
degree-closeness,185,movie_350,50,0.12081632653061225,5,9.579760526387965,6.523019444818099,0.6809167543228343,0.39864864864864863,0.44800036523009507,0.5141755250770259,-0.17765600594064435,0.43317972350230416,0.7647756267806268
degree-eigenvector,186,movie_350,50,0.12081632653061225,5,9.579760526387965,6.523019444818099,0.6809167543228343,0.39864864864864863,0.44800036523009507,0.5141755250770259,-0.17765600594064435,0.43317972350230416,0.7647756267806268
betweenness-closeness,164,movie_350,50,0.12081632653061225,5,9.579760526387965,6.523019444818099,0.6809167543228343,0.39864864864864863,0.44800036523009507,0.5141755250770259,-0.17765600594064435,0.43317972350230416,0.7647756267806268
betweenness-eigenvector,212,movie_350,50,0.12081632653061225,5,9.579760526387965,6.523019444818099,0.6809167543228343,0.39864864864864863,0.44800036523009507,0.5141755250770259,-0.17765600594064435,0.43317972350230416,0.7647756267806268
closeness-eigenvector,100,movie_350,50,0.12081632653061225,5,9.579760526387965,6.523019444818099,0.6809167543228343,0.39864864864864863,0.44800036523009507,0.5141755250770259,-0.17765600594064435,0.43317972350230416,0.7647756267806268
degree-betweenness,25,movie_351,38,0.14935988620199145,5,8.577215406927197,5.065107506589027,0.5905305237523014,0.3619047619047619,0.43750566893424037,0.5102822348786609,-0.2556678985798058,0.4024802705749718,0.8044857514155761
degree-closeness,110,movie_351,38,0.14935988620199145,5,8.577215406927197,5.065107506589027,0.5905305237523014,0.3619047619047619,0.43750566893424037,0.5102822348786609,-0.2556678985798058,0.4024802705749718,0.8044857514155761
degree-eigenvector,89,movie_351,38,0.14935988620199145,5,8.577215406927197,5.065107506589027,0.5905305237523014,0.3619047619047619,0.43750566893424037,0.5102822348786609,-0.2556678985798058,0.4024802705749718,0.8044857514155761
betweenness-closeness,39,movie_351,38,0.14935988620199145,5,8.577215406927197,5.065107506589027,0.5905305237523014,0.3619047619047619,0.43750566893424037,0.5102822348786609,-0.2556678985798058,0.4024802705749718,0.8044857514155761
betweenness-eigenvector,58,movie_351,38,0.14935988620199145,5,8.577215406927197,5.065107506589027,0.5905305237523014,0.3619047619047619,0.43750566893424037,0.5102822348786609,-0.2556678985798058,0.4024802705749718,0.8044857514155761
closeness-eigenvector,85,movie_351,38,0.14935988620199145,5,8.577215406927197,5.065107506589027,0.5905305237523014,0.3619047619047619,0.43750566893424037,0.5102822348786609,-0.2556678985798058,0.4024802705749718,0.8044857514155761
